version,label,type,statement_short,lean_file,reference_vector_exercised,status
v1,(pre-formal),none,"v1 'The Loop Is the Product' — narrative paper, no formal theorem environments; introduces bounded recursion as audit primitive.",,,pre-formal
v2,(no formal blocks),none,v2: no explicit theorem/axiom blocks detected; prose/empirical paper.,,,informal
v3,2. Definition,definition,"2. Definition — Let \(\mathbf{x} = (x_1, \dots, x_9) \in [0,1]^9\) be the runtime axis scores at a given step, and \(\mathbf{w} = (w_1, \dots, w_9)\) be a non-negative weight vector with \(\sum w_i = ",,?,
v3,A1,axiom,"Monotonicity — > For every \(i \in \{1, \dots, 9\}\) and every \(\mathbf{x} \in [0,1]^9\), if \(x_i' \geq x_i\) then \(\Lambda(\mathbf{x}'; \mathbf{w}) \geq \Lambda(\mathbf{x}; \mathbf{w})\), where \(",Lutar/Thesis/TH_V18_01_LambdaMonotonicity.lean,Y,numerical-witness
v3,A2,axiom,"Zero-pinning — > If there exists \(i\) with \(x_i = 0\) and \(w_i > 0\), then \(\Lambda(\mathbf{x}; \mathbf{w}) = 0\). Conversely, if \(x_i = 0\) but \(w_i = 0\), then axis \(i\) is degenerate and doe",Lutar/Invariant.lean (A2),Y,numerical-witness
v3,A3,axiom,"Egyptian inspectability — > The standard weight set is a multiset of unit fractions \(\{1/n_k\}\) with each \(n_k\) a positive integer, summing exactly to 1 in rational arithmetic. The aggregator \(\L",Lutar/Egyptian.lean,Y,numerical-witness
v3,A4,axiom,"Page-curve concavity — > \(\Lambda\) is concave on the positive orthant \((0,1]^9\). Equivalently, for any two points \(\mathbf{a}, \mathbf{b} \in (0,1]^9\) and any \(t \in [0,1]\),",Lutar/Lambda/SchurConcave.lean (A4 concavity),N,numerical-witness
v4,(no formal blocks),none,v4: no explicit theorem/axiom blocks detected; prose/empirical paper.,,,informal
v5,(no formal blocks),none,v5: no explicit theorem/axiom blocks detected; prose/empirical paper.,,,informal
v6,(no formal blocks),none,v6: no explicit theorem/axiom blocks detected; prose/empirical paper.,,,informal
v7,(no formal blocks),none,v7: no explicit theorem/axiom blocks detected; prose/empirical paper.,,,informal
v8,(no formal blocks),none,v8: no explicit theorem/axiom blocks detected; prose/empirical paper.,,,informal
v9,(no formal blocks),none,v9: no explicit theorem/axiom blocks detected; prose/empirical paper.,,,informal
v10,2.4 Closure theorem,theorem,"2.4 Closure theorem — **Theorem (Λ₁₀ closure).** ρ(ℒ, M) = 1 ⇔ auditClosed(M).",,?,
v10,theorem:(Λ₁₀ closure).,theorem,"(Λ₁₀ closure). — *Proof.* (⇐) If every M_{k,j} = 1 then ∏_j M_{k,j} = 1 for all k, so A_k = L_k and Σ A_k = Σ L_k.",,?,
v11,2.1 Definition,definition,"2.1 Definition — Fix a finite ordered set of *layers* L = {L₁, …, L_n}; in the runtime under study, these are the published versions of the Lutar family that have shipped routes, so n = 7 with layers ",,?,
v11,2.2 Closure theorem,theorem,"2.2 Closure theorem — **Theorem (closure).** *Assume L_k > 0 for every k. Then ρ = 1 if and only if M_{k,j} = 1 for every (k, j).*",,?,
